id,Q01,Q02,Q03,Q04,Q05,Q06->Problem Understanding,Q06->Conceptual Understanding,Q06->Code Generation,Q06->Debugging,Q06->Runtime Analysis,Q06->Syntax,Q06->Documentation,Q06->Test Cases,Q6Add,Q7->1: Very Difficult ... 5: Very Easy,Q8->1: Not helped at all ... 5: Helped very well,Q9->1: Inadequate ... 5: Highly Adequate,Q10->1: Very Dissatisfied ... 5: Very Satisfied,Q11->1: Unlikely ... 5: Very Likely,Q12,Q13,Q14
10,2 : Limited (<1 Year),1 : Yes,4 : Montly,2 : 15-30 minutes,1 : Web Interface,0,0,1,0,1,0,0,0,,4,4,3,3,4,"Code schritt für schritt erklären lassen, um ein besseres verständnis zu bekommen  Fehlermeldungen eingeben, um sie besser zu verstehen  Texte umformulieren lassen","Ihm deutlich genug sagen, was man möchte  ",
11,1 : None,1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,0,1,0,0,1,0,0,,5,5,4,5,5,"Für mich ist Chat GPT meistens eine Hilfe gewesen, wenn ich etwas ""verstehen"" wollte.    Meistens ist es auch einfacher Chat GPT zu fragen, was genau mit der Fragenstellung gemeint gefordert ist. ","1. Chat GPT kann nichts dafür, aber ich glaube er antwortet nach Datenbank und nicht mit Verstand    2. Manchmal gibt er so rote Ausgaben aus, die man gar nicht mehr lesen kann.    3. Meistens muss man mehrmals nachfragen, bis er wirklich die Antwort gibt nach der gefragt wurde. ",
12,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,0,1,0,0,0,1,1,,3,4,3,4,5,"- Dass, auch wenn der Code von Chatgpt nicht perfekt ist, man dadurch ein Anfangsgerüst bekommt, mit welchen man weiterarbeiten kann.    - Man bekommt schnell Code zu Fleißarbeit, z.B. Erstelle bitte python Code, um eine 10x10 Matrix mit nur 0 Einträgen zu erstellen    - Man muss vieles nicht mehr in Dokus nachlesen. z.B. Füge bitte eine Legenede zu meinem Histogramm code hinzu","- Hat in den letzten Monaten nachgelassen    - Manchmal wird nicht auf das eingegangen, was gefragt ist    - Die Eingabe von Diagrammen, mathematischen Beispielen usw. ist in der kostenlosen Version nicht möglich","Seit dem ich Copilot kenne, benutze ich Chatgpt viel weniger zum coden."
13,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,1,1,0,0,0,0,,5,4,3,3,5,"+ Verständnisfragen wie ""was macht Zeile XY im Code genau"" werden sehr gut beantwortet  + Programme sind in der Regel grundsätzlich lauffähig (insbesondere bei einfachen Aufgaben)  +Die Benutzeroberfläche ist sehr einfach.","- komplexerer Code ist nahezu unbrauchbar  - ChatGPT muss häufig neu gestartet werden, da es sich ""Antworten"" zum aktuellen Problem merkt und immer wieder einfügt, auch wenn darauf hingewiesen wurde, genau das NICHT zu tun  - Wenn man ChatGPT widerspricht versucht es neue Antworten zu finden. Oft gegensätzlich. Widerspricht man erneut bekommt man häufig das Ursprungsergebnis erneut...","Auf Grund der Tatsache, dass sich ChatGPT je Sitzung die bisherigen Antworten ""merkt"" führt häufig dazu, dass eigentlich ungültige Eingaben erneut auftauchen. Außerdem muss bei komplexeren Themen sehr genau gepromptet werden, um eine entsprechende Antwort zu erhalten. Ab einem gewissen Komplexitätsgrad ist ChatGPT nahezu unbrauchbar. "
14,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,1,1,1,1,1,1,,4,4,3,3,4,-&gt, Schnelle Hilfe bei Syntaxfehlern  -&gt, Hilfe beim Finden von Ansätzen und dadurch auch das Lernen neuer Ansätze und Möglichkeiten   -&gt
15,1 : None,1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,0,0,0,,3,2,4,3,3,"Versatility in Information   Content Generation and Writing Assistance  Programming Assistance  Keep in mind that while ChatGPT has numerous positive use cases, it's important to be aware of its limitations and verify critical information from reliable sources. ",Lack of Fact-Checking  Tendency to Generate Plausible-sounding but Incorrect Answers  Sensitivity to Input Phrasing  ,No
16,1 : None,1 : Yes,1 : Never,1 : Less than 15 minutes,1 : Web Interface,1,0,0,0,1,0,0,0,,3,3,2,2,1,,,
17,1 : None,1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,0,0,1,0,1,0,0,,3,4,3,4,3,,,
18,1 : None,1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,0,0,0,1,0,0,,3,3,2,2,4,"Chat GPT kann helfen neue Blickwinkel oder Denkansätze einzunehmen. Leichtsinnsfehler im Code können relativ schnell debuggt werden, ohne stunden lang den Code zu durchforsten. Er kann helfen lustige und interessante Eastereggs im code zu implementieren. Wenn ich einen Text schreibe lasse ich ihn oft von Chat GPT Korrektur lesen um Rechtschreibfehler zu finden.",Oft sind angaben zu ungenau oder die Anfrage wurde falsch verstanden. Antworten können auch oft falsch sein. Angegebene Quellen existieren manchmal überhauptnicht ,
19,2 : Limited (<1 Year),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,0,1,0,0,0,0,1,0,,4,4,2,3,4,,,
20,3 : Moderate (1-2 Years),2 : No,1 : Never,3 : 30-60 minutes,1 : Web Interface,0,1,1,0,0,0,0,0,,5,3,2,3,4,-code generation for specific tasks in a function ( but not to complex topics)  - explanation of code  - it can give you diffrent kinds of ways to a solution  ,- u need to give precise prompts and also test them   - it cant handle to complex things (logic)  - and if you know its wrong and tell Chatgpt to check themselfes it often just guesses that it was wrong and then still give another wrong feedback/answer,"It can help to get a general idea of a problen and how to solve it, also it can save you time, but not for every problem, sometimes it just doesnt get what you want from them. It also gives different answers if you tell it to check themself, if its right or wrong it still corrects wrong . It goes from wrong -&gt; new wrong or also from right -&gt; wrong"
21,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,0,0,0,0,Summary,5,4,2,3,1,1. Find Python libraries that I would have never found otherwise.  2. Understand Code that I did not write.  3. Understand recursions (Explanation and Demonstration).  ,1. If you don't have basic knowledge in coding you will not understand wrong answers.  2. It can not draw.  3. I can't upload pdfs to summaries or find certain parts.,If you want to use ChatGbt you sill have to have basic to medium knowledge about the thing you are trying to ask ChatGbt for.  The more you ask ChatGbt to correct an answer the more wrong the answer gets.
22,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,1,0,1,0,0,,4,5,3,4,5,- sehr gut für Code Verständnis  - gibt oftmals gute Lösungen oder Antworten wenn man Bugs im Code hat  - Syntax Fehler werden gut erkannt,"- oft falsche Lösungen  - versteht nicht zu 100% alle Aufgaben die man weitergibt  - versteht oftmals seine eigenen Fehler nicht, auch wenn man es darauf hinweist",
23,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,1,1,0,1,,5,4,3,2,2,"Sehr nützlich ist es, dass die AI die Aufgabenstellung analysieren kann und den Code für die Aufgabe ziemlich gut erstellen kann. Zwar muss man danach noch ein paar Befehle geben, dass er korrigiert wird, aber dafür ist es sehr beeindruckend, dass sowas überhaupt geht. Man kann außerdem noch die Kommentare und Testfälle für den Code damit erstellen, was auch noch nützlich ist. Manchmal wenn ich beim Coden nicht selber weiter komme oder wenn ich an eine Stelle komme, an der ich die Fehlermeldung nicht wegkriegen kann, chatGPT kann sehr hilfreich sein.","GPT-3.5 ist viel unpräziser im vergleich zum GPT-4, was auch zu erwarten ist, trotzdem ist es sehr nervig wenn man extrem spezifisch sein muss and wenn man trotzdem eine irrelevante Antwort erhält. Neben der Ungenauigkeit können noch die langsame Antwortgenerierung und die fehlende Option Bilder hochzuladen als nicht optimal gesehen werden, aber das sind Kleinigkeiten, dafür gibt es die Plus Version.",Nein.
24,2 : Limited (<1 Year),1 : Yes,3 : Weekly,4 : More than 60 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,3,3,2,3,3,- chatgpt gibt mir eine Idee wie mein Programm aussehen könnte bzw. wie ich anfangen kann   - erklärt zeilenweise code bei Anforderung    -  ,"- versteht meine frage/die Aufgabenstellung nicht   - fehlerhafte Ausgaben  - wenn man darauf hinweist, dass etwas fehlerhaft ist, wird es ""korrigiert"", und wenn man erneut drauf hinweist, dass es Fehler haben könnte, wird es wieder ""korrigiert"" usw., d.h man erhält nie eine richtige Antwort ",chatgpt ist schnell überfordert 
25,1 : None,1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,0,1,1,0,0,0,0,,4,3,2,2,1,,,
26,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,5,3,3,4,4,"Assistent: Man kann Fragen zur Programmiersprache wie Syntax stellen und bekommt eine kompakte Antwort.  Zeit: Man kommt schneller an die gewünschte Antwort als bei herkömmlichen Mitteln wie zum Beispiel Google.  Lernbarkeit: Man kann das optimal für die Erweiterung der eigenen Programmierfähigkeiten nutzen, in dem man es gezielt über seine Probleme fragen kann.","- Man macht sich das Leben leichter, in dem man sich zum Beispiel einen Code vorschreiben lässt und fällt in die Gefahr, dass man sich es zu leicht macht und sich zu viel vorschreiben lässt.  - Man bekommt oftmals einen fehlerhaften Code vorgeschrieben.  - Es gibt Sachen, die es scheinbar nicht ganz nachvollziehen kann, wie zum Beispiel bei der Logik der Rekursion und man bekommt fehlerhafte Antworten dazu.",
27,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),0,0,0,1,0,1,0,1,,4,4,3,4,5,"1. Hilfe bei Debugging. Sehr oft sind bugs unsichtbar fuer Anfaenger. AI spart daran viel Zeit und erklaert die Fehler  2. Wenn man eine Idee hat, aber keine Kentnisse, sie umzusetzen, ist AI hilfreich. Beispielsweise bei Zusammensetzung von dictionaries bekommt man schnell Hinweise dazu, es zu realisieren, statt selbst zu recherchieren  3. Bietet Umschreibung des Codes an, wenn man nicht weisst, wie einen Fehler umzugehen. Solche Hilfe spart auch viel Zeit","1. Die KI kann sehr oft nicht einen Code anhand von einer Fragestellung generieren, oder der Code funktioniert nicht.   2. Wenn die KI schon einen fehlerhaften Code generiert, kann sie einen neuen nicht mehr erstellen. Sie gibt immer wieder denselben Code wieder. Sogar bei den Bemerkungen, dass die Fehler da sind   3. Es passiert, dass die KI eine Anwort ausgibt, die keinen Bezug auf die ganze Konversation haben, d.h. verliert den Faden.","KI( und wie man sie benutzen kann) sollte als ein Kernmodul eingfuehrt werden. Weisst man, wie damit vorzugehen, lernt man viel schneller und spart man viel Energie. "
28,1 : None,1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,1,,5,2,3,4,3,,,
29,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),1,0,1,0,0,1,0,0,,3,4,3,4,4,Helpful start into new programming languages like CSS,,
30,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,0,1,0,0,0,1,1,,5,3,3,3,2,Codegenerierung  Bedienfreundlichkeit  Textzusammenfassund,Fehlerhafter Code  Erfundene Quellen  Falsche Antworten (17 &gt, 19)
31,3 : Moderate (1-2 Years),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,0,1,1,0,1,1,1,,4,4,3,4,4,Generierung von Docstrings  Generierung von Texten für die Dokumentation  Lösungsansätze verfeinern    ,"Falsche Antworten  ""Entschuldigung mein Fehler"" Loop  Halluzination  ",Nein
32,2 : Limited (<1 Year),2 : No,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,0,1,0,0,0,0,,5,3,4,4,5,"Guidance: Offers instant help with coding problems and advice on best practices, acting like an on-demand mentor.    Tutoring: Provides clear, concise explanations of complex programming concepts, aiding in quick learning and comprehension.    Understanding: Helps in breaking down and understanding new technologies and languages, making it easier to stay current in the fast-evolving tech landscape.","Over-Reliance Risk: Relying too heavily on ChatGPT for problem-solving can potentially stifle one's and problem-solving skills. It's important to use it as a tool to complement one's abilities, rather than as a substitute for personal effort and learning.    Code Bugs/Errors: ChatGPT can inadvertently introduce bugs or errors in generated code, especially in complex scenarios, requiring careful review and testing by the user.    Accuracy of Information: At times, ChatGPT may provide information that is outdated or incorrect."," I would say that ChatGPT is an excellent tool for learning and asking for resources. Its lack of human judgment makes it a comfortable and unbiased source for information. Additionally, its ability to answer in multiple ways can simplify and enhance the learning experience, catering to different styles of understanding and preferences."
33,3 : Moderate (1-2 Years),1 : Yes,3 : Weekly,3 : 30-60 minutes,1 : Web Interface,1,1,1,1,1,1,1,1,,4,4,4,4,5,,"Manchmal, wenn man versucht ChatGPT zu korrigieren, sagt er zwar, dass er falsch war, aber gibt die selbe Antwort nochmal.",
34,2 : Limited (<1 Year),1 : Yes,2 : Daily,1 : Less than 15 minutes,1 : Web Interface,1,1,0,1,0,1,0,0,"ChatGPT hilft mir bei vielen verständnis Fragen, vor allem in der Mathematik weiter, allerding kann ich dafür nur die kostenpflichtige Version ChatGPT Pro empfehlen.",5,5,5,5,5,"Mit der kostenpflichitgen Version hilft mir ChatGPT in jeglicher Hinsicht weiter. Es hilft mir Verständisfragen bei Übungsblätter und von Konzepten aus der Vorlesung zu klären. Es ist wie ein privater Tutor, den man immer alles fragen kann. Vorallem, dass man Dokumente und Bilder hochladen kann, ist sehr nützlich.",- Keine Quellen  - NIcht immer richtig  - Weiß nicht alles,"Es ist ein nützliches Tool, was mir täglich bei dem Vertsändnis von jeglichen Fragen im Unialltag weiter hilft."
35,1 : None,2 : No,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,1,0,0,0,0,0,,3,3,3,3,2,"- CharGPT gibt die Lösung mit Erklärung an.  - Es löst die Aufgabe so, wie man es gerne hätte.   - Es benötigt nur Sekunden, um die Aufgaben zu lösen. ","- Die Lösung kann falsch sein.   - Man kann ChatGPT verunsichert (man sagt, dass die ChatGPT-Lösung falsch ist, obwohl sie richtig ist, und er sagt: Entschuldigung oder tut mir Leid....  - Man wird  faul und lernt nicht. ",
36,3 : Moderate (1-2 Years),1 : Yes,5 : Rarely,1 : Less than 15 minutes,1 : Web Interface,1,1,1,1,1,1,1,1,,5,1,3,3,1,"- Wenig eigene Arbeit, die zu verrichten ist  - Fast Google-Suchergebnisse gut zusammen  - Ist in der Lage generierten Code verständlich zu erklären und liefert manchmal logische Herleitungen.","- Wenn man nicht sehr präzise mit seinen Prompts ist, gibt ChatGPT oft Ergebnisse aus, die nicht wirklich hilfreich sind  - ChatGPT ist oft nicht in der Lage generierten Code an später genannte Zusatzvorraussetzungen anzupassen  - Die Ausgaben gehen oft nicht über Zusammenfassung von Google-Suchergebnissen hinaus",
37,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,1,0,0,1,0,0,1,,5,3,3,4,3,"- Die Option wie in einem Gespräch noch mal nachfragen zu können wie die Antwort gemeint war oder wie man etwas genau umsetzen kann.    - Man kann sich anschauen wie ChatGPT die Aufgabenstellung interpretiert hat.    - Man kann ChatGPT genaue Anweisungen geben darüber wie man geholfen werden möchte. Z.B. in dem man schreibt: ""Zeige mir mit Hilfe von X wie ich Y umsetzen kann."" ","- Viele Fehler auch im Gebiet der Logik. Man kann sich nicht auf seine Antworten verlassen.    - ChatGPT erkennt seine Fehler nicht und selbst nach dem man es korrigiert bzw. darauf hinweist, kommt es zu Folgefehler in seiner nächsten Antwort.    - Man muss sehr vorsichtig und genau sein beim Formulieren der Fragen.",
38,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,1,1,0,0,0,1,0,0,,4,5,4,5,5,"Es hilft, den Code zu verstehen.  Kann Lernstoff (nicht nur Programmierung) gut erklären.  Hilft, mit dem Schreiben von Code anzufangen, wenn man etwas nicht versteht.",,
39,2 : Limited (<1 Year),1 : Yes,2 : Daily,3 : 30-60 minutes,2 : API Integration (e.g. IDE Plugins like CodeGPT),0,1,1,0,0,0,1,1,,5,5,4,5,4,,,
40,2 : Limited (<1 Year),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,0,0,1,1,0,1,0,1,,5,5,4,4,5,- schnelle Hilfe bei Syntaxfragen  - schnelle Hilfe beim Debuggen (wenn auch nicht immer akkurat)  - schnelle Generierung von Testcases,"- Prompts müssen sehr genau sein  - Code teilweise redundant  - Es wird einem schnell ein Plagiat reingedrückt, weil ChatGPT das Web crawled, genauso wie ich, wenn ich eine Lösung suche und die erstbesten Results anschaue",
41,2 : Limited (<1 Year),1 : Yes,2 : Daily,2 : 15-30 minutes,1 : Web Interface,1,1,1,1,0,0,1,1,,4,4,2,4,5,"1. Was ich oft mache ist, meinen eigenen Code erst zu erstellen und dann ChatGPT für eine Verbesserung fragen. So kann man wirklich sehen, wie man einen Code effizienter / kompakter schreiben kann und viele hilfreiche Strukturen lernen.    2. Man kann Fehler im Code ziemlich schnell finden, die ohne ChatGPT viel schwieriger ist.    3. Wenn man vermutet, dass es irgendeinen Befehl / builtin hochwahrscheinlich existiert, aber kennt ihn nicht.","1. ChatGPT kann manchmal wiederholte Fehler machen und korrigiert sie nicht, obwohl man Bescheid sagt.    2. Man will manchmal ein Problem auf eine bestimmte Weise lösen, aber ChatGPT gibt nur einen Code, den dieser Weise nicht entspricht.    3. Man muss viele Prompts geben und alles ganz detailliert beschreiben, damit ChatGPT ehrlich versteht, womit du Hilfe brauchst.",
42,4 : Advanced (3+ Years),1 : Yes,3 : Weekly,2 : 15-30 minutes,1 : Web Interface,1,1,0,1,0,1,0,0,,5,4,3,5,5,"Man kann sich ganze Konzepte erklären lassen, etwas, das autodidaktisch sehr schwer ist  Es vereinfacht das Verständnis von Tools und externen Bibliotheken mit schwerer/schlechter Dokumentation (z.B. Apple Frameworks wie Metal, MetalKit, NextStep, ...)  GPT beschleunigt den Arbeitsvorgang auf verschiedene weisen: Autovervollständigung im Code selbst, schnelleres finden von Bugs, ...  ","Beim Programmieren sind lange Antworten kaum zu vermeiden. Bei längeren Unterhaltungen wird der Chat dadurch schnell unübersichtlich, wenn man zum Beispiel schnell zurückgehen will, um etwas von vorher nachzuschauen.  Oft gehen Antworten am Thema vorbei, was das vorherige Problem nur verstärkt.  Viele Dinge werden häufig und unnötigerweise wiederholt",Das wichtigste ist alles zu hinterfragen
43,1 : None,1 : Yes,2 : Daily,4 : More than 60 minutes,1 : Web Interface,1,0,1,0,0,0,0,0,,5,4,4,5,5,"- Genauere Erläuterung von unklaren Aufgabenstellungen  - Ideen wie man den Code strukturiert / welche build ins man nehmen kann  - wenn der eigene Code nicht funktioniert, fragen, was man falsch gemacht hat",- manchmal versteht ChatGPT die Aufgabenstellung nicht aber printet trotzdem irgend ein (falsches) Ergebnis  - ansonsten keine,nein
44,2 : Limited (<1 Year),2 : No,1 : Never,1 : Less than 15 minutes,1 : Web Interface,0,1,1,0,0,0,0,1,,5,4,4,5,4,"Erläuterungen der Antworten, Speichern voriger Fragen, interaktiv","Genaue Wortlaute finden, Fehler korrigieren",
45,2 : Limited (<1 Year),1 : Yes,3 : Weekly,1 : Less than 15 minutes,1 : Web Interface,0,0,0,0,0,0,1,0,,4,2,2,2,3,,,
