id,code,task,problem
10,"#Eingabe:

Jahr = int(input(""Bitte geben Sie das Jahr ein:"" ))
Wochentag = input(""Bitte geben Sie den Wochentag im 1. Jan ein: "")

#Prozess (if und match) und Ausgabe (durch print Befehl):

print(""                                                                   "")
print(""--------------------------------------------------------------------------"")
print(""In einem Jahr kann es mindestens 1 und hoechstens 3 Freitag der 13. geben."")
print(""--------------------------------------------------------------------------"")
print(""                                                                   "")

if Jahr % 4 == 0:
    match Wochentag:
        case ""Montag"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr)
        case ""Dienstag"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Mittwoch"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr) 
        case ""Donnerstag"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr)
        case ""Freitag"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Samstag"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Sonntag"": print (""Durch Ihre Angaben gibt es"", 3, ""Freitag der 13. im Jahr"", Jahr)

else:
    match Wochentag:
        case ""Montag"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr)
        case ""Dienstag"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr)
        case ""Mittwoch"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Donnerstag"": print (""Durch Ihre Angaben gibt es"", 3, ""Freitag der 13. im Jahr"", Jahr)
        case ""Freitag"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Samstag"": print (""Durch Ihre Angaben gibt es"", 1, ""Freitag der 13. im Jahr"", Jahr)
        case ""Sonntag"": print (""Durch Ihre Angaben gibt es"", 2, ""Freitag der 13. im Jahr"", Jahr)

     

#Anmerkung:
#Quelle von Anzahl der Freitage im Schalt- und kein Schaltjahr:
#https://nondoc.com/2017/01/13/calculate-friday-the-13th/",2,0. No calculation. Just hard coded.
11,"global count
count = 0
def simple_year(date):
    month = 1
    while month < 13:
        date += 7
        if date == 13:
            count += 1
        match month:
            case 1| 3 | 5 | 7 | 8 | 10 | 12: 
                if date > 31: 
                    date -=31; 
                    month += 1
            case 4 | 6 | 9 | 11 : 
                if date > 30:
                    date -=30
                    month += 1
            case 2 :
                match leap_year:
                    case 'y':
                        if date > 29:
                            date -=29
                            month += 1
                    case 'n':
                        if date > 28:
                            date -=28
                            month += 1

def output(week_day, leap_year, count):
    print(""Schaltjahr?"", leap_year, ""Im Jahr, das mit"", week_day, ""startet, hat"", count)

                 

#        if month%2 == 0:
#            if date > 31:
#                date -=31
#                month += 1
#        elif month == 2 and leap_year == 'y':
#            if date > 29:
#                date -=29
#                month += 1
#        elif month == 2 and leap_year == 'n':
#            if date > 28:
#                date -=28
#                month += 1
#        elif month == 1:
#           if date > 31:
#             date -=31
#             month += 1
#        else:
#          if date > 30:
#            date -=30
#           month += 1
       # months(date, month, leap_year)
    return count

def months(date, month, leap_year):
    if month%2 == 0:
        if date > 31:
            date -=31
            month += 1
    elif month == 2 and leap_year == 'y':
        if date > 29:
            date -=29
            month += 1
    elif month == 2 and leap_year == 'n':
        if date > 28:
            date -=28
            month += 1
    elif month == 1:
        if date > 31:
            date -=31
            month += 1
    else:
        if date > 30:
            date -=30
            month += 1

leap_year = ''

while leap_year != 'y' and leap_year != 'n': # proof of value valitidy
    leap_year = input(""Muss es ein Schaltjahr sein? [y/n]"")
    
for date in range(1, 8):
    simple_year(date)
    match date:
        case 1: output(""Freitag"", leap_year)",2,"0. Global count not inside function simple_year.
1. output(...) has missing parameter.
2. Only calculates for years starting with Freitag."
12,"import datetime
year = int(input(""Geben Sie eine Jahr ein:""))
days =[31,28,31,30,31,30,31,31,30,31,30,31]
if (year%4==0) and (year%100 !=0) or (year%400)==0:
    is_leap_year = 1
    print(""{} ist ein Schaltjahr."".format(year))
else:
    is_leap_year = 0
    print(""{} ist ein kein Schaltjahr"".format(year))

if is_leap_year == 1:
    days[1] = 29
if is_leap_year == 0:
    days[1] = 28

count = 0
for i in range(1,13):
    for j in range(1,days[i-1]):
        date = datetime.date(year,i,j)
        weekday = date.isoweekday()
        if j==13 and weekday ==5:
            count = count +1
            print(""Anzahl der Black Fridays in diesem Jahr:"")
            print(count)
            print(""Jeder Black Friday findet an folgenden Daten statt:"")
            print(date)",2,0. Multiple outputs (one for each friday 13 in a year).
13,"import datetime, sys
#Eingabe einfordern
anfang = input(""Startdatum eingeben(Tag.Monat.Jahr): "").split('.')[::-1]
ende = input(""Enddatum eingeben(Tag.Monat.Jahr): "").split('.')[::-1]
print()
 
anzahl = 0
 
for i in range(len(anfang)):
    anfang[i] = int(anfang[i])
 
for i in range(len(ende)):
    ende[i] = int(ende[i])
 
try:
    startdatum = datetime.date(anfang[0],anfang[1],anfang[2])
    enddatum = datetime.date(ende[0],ende[1],ende[2])
#Falls falsches Datum eingegeben wird
except:
    print(""Irgendwas stimmt mit der/dem Eingabe/Datum nicht!"")
    sys.exit(0)
 
if startdatum > enddatum:
    print(""Startdatum gr��er Enddatum!"")
    sys.exit(0)
 
if anfang[2] > 13:
    anfang[2] = 13
    anfang[1] += 1
 
while True:
    if datetime.date(anfang[0],anfang[1],13).weekday() == 4:
        if len(str(anfang[1])) == 1:
            print(""13.0"" + str(anfang[1]) + ""."" + str(anfang[0]))        
 
        else:
            print(""13."" + str(anfang[1]) + ""."" + str(anfang[0]))
 
        anzahl += 1
         
    if anfang[1] == 12:
        anfang[1] = 1
        anfang[0] += 1
 
    else:
        anfang[1] += 1
 
    startdatum = datetime.date(anfang[0],anfang[1],anfang[2])
 
    if startdatum > enddatum:
        break
 
print()
print(""In der Summe gab es"", anzahl, ""Freitag den 13. im Zeitraum zwischen ihrem Start und Enddatum."")",2,0. Calculates from start to end date instead of full year.
14,"#input
jahr= int ( input ( ""Bitte geben Sie ein Jahr ein :""))
#process&output
if jahr in range ( 1900, 2196, 4):
   print (""Im Jahr "", jahr ,"" gibt es max. 2 und min. 1 Freitag der 13. !"")
   
else : 
    print (""Im Jahr"" , jahr , ""gibt es max. 3 und min 2.  Freitag der 13 !!"")",2,"0. No calculation. Only depends on leap year, not starting day."
15,"# das ist nur ein Ansatz der Aufgabe, da ich nicht mehr wusste wie ich weiter machen soll.

        
def buchstabenLinksNachRechts():
# es wird eine Funktion definiert, welche die Buchstaben von links nach rechts ausgibt
    
    buchstaben = ""ABCDEFGH""
    s = ""1""
# durch die 1 wird bestimmt, was hinter dem ausgegebnen Buchstaben stehen soll
    for i in range(1):
# die Zahl, die in der Klammer bei ""range"" steht, bestimmt welcher Buchstabe ausgegeben werden soll. Da der Buchstabe A in der ersten Position steht wird sie auch ausgegben.
        s = buchstaben[i] + s
# der Buchstabe, der in der range bestimmt wird, wird hier mit dem Wert kombiniert, den wir der Variable s gegeben haben.
# dieser Vorgang wird nun immerweiter durchgef�hrt, bis wir A mit jeder Zahl von 1-8 kombiniert haben.
        print(s)
    buchstaben = ""ABCDEFGH""
    s = ""2""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""3""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""4""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""5""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""6""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""7""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    s = ""8""
    for i in range(1):
        s = buchstaben[i] + s
        print(s)
        buchstaben = ""ABCDEFGH""
    
        


if __name__ == ""__main__"":
 buchstabenLinksNachRechts()

# mit dieser Bedinging wird festgelegt, dass die definierte Funktion ausgef�hrt werden soll
",3,0. Prints only first column.
16,"Chess_Line_List_1 =[""A1"", ""B1"", ""C1"", ""D1"", ""E1"", ""F1"", ""G1"", ""H1""]
Chess_Line_List_2 =[""A2"", ""B2"", ""C2"", ""D2"", ""E2"", ""F2"", ""G2"", ""H2""]
Chess_Line_List_3 =[""A3"", ""B3"", ""C3"", ""D3"", ""E3"", ""F3"", ""G3"", ""H3""]
Chess_Line_List_4 =[""A4"", ""B4"", ""C4"", ""D4"", ""E4"", ""F4"", ""G4"", ""H4""]
Chess_Line_List_5 =[""A5"", ""B5"", ""C5"", ""D5"", ""E5"", ""F5"", ""G5"", ""H5""]
Chess_Line_List_6 =[""A6"", ""B6"", ""C6"", ""D6"", ""E6"", ""F6"", ""G6"", ""H6""]
Chess_Line_List_7 =[""A7"", ""B7"", ""C7"", ""D7"", ""E7"", ""F7"", ""G7"", ""H7""]
Chess_Line_List_8 =[""A8"", ""B8"", ""C8"", ""D8"", ""E8"", ""F8"", ""G8"", ""H8""]
#Erstellung von 8 Listen f�r jede Reihe

Chess_Line_List = [Chess_Line_List_1, Chess_Line_List_2, Chess_Line_List_3, Chess_Line_List_4, 
Chess_Line_List_5, Chess_Line_List_6, Chess_Line_List_7,Chess_Line_List_8]
Chess = str(input('''Bitte geben Sie das Wort ""Schach"" ein: '''))

#Input des Benutzers zur Erstellung des Brettes
if Chess == (""Schach""):
    print (*Chess_Line_List_1)
    print (*Chess_Line_List_2)
    print (*Chess_Line_List_3)
    print (*Chess_Line_List_4)
    print (*Chess_Line_List_5)
    print (*Chess_Line_List_6)
    print (*Chess_Line_List_7)
    print (*Chess_Line_List_8)    
   #Bei richtiger Eingabe wird das Brett Zeile f�r Zeile gedruckt.
Queen_Symbol = (""QQ"") #Definierung des Symbols der Koenigin
Queen = str(input(""Auf welche Position soll die K�nigin stehen?:"")) #Frage den Nutzer nach 
#Position der Koenigin
if (Queen in Chess_Line_List_1):
        for index, value in enumerate (Chess_Line_List_1):
            if value == Queen:
                Chess_Line_List_1[index] = Queen_Symbol 
#Schaut ob sich der auszutauschende Platz in der Zeile befindet. Wenn ja wird input gegen
# QQ eingetauscht.                
    
elif (Queen in Chess_Line_List_2):
        for index, value in enumerate (Chess_Line_List_2):
            if value == Queen:
                Chess_Line_List_2[index] = Queen_Symbol    

elif (Queen in Chess_Line_List_3):
        for index, value in enumerate (Chess_Line_List_3):
            if value == Queen:
                Chess_Line_List_3[index] = Queen_Symbol  

elif (Queen in Chess_Line_List_4):
        for index, value in enumerate (Chess_Line_List_4):
            if value == Queen:
                Chess_Line_List_4[index] = Queen_Symbol    

elif (Queen in Chess_Line_List_5):
        for index, value in enumerate (Chess_Line_List_5):
            if value == Queen:
                Chess_Line_List_5[index] = Queen_Symbol  

elif (Queen in Chess_Line_List_6):
        for index, value in enumerate (Chess_Line_List_6):
            if value == Queen:
                Chess_Line_List_6[index] = Queen_Symbol    

elif (Queen in Chess_Line_List_7):
        for index, value in enumerate (Chess_Line_List_7):
            if value == Queen:
                Chess_Line_List_7[index] = Queen_Symbol   

elif (Queen in Chess_Line_List_8):
        for index, value in enumerate (Chess_Line_List_8):
            if value == Queen:
                Chess_Line_List_8[index] = Queen_Symbol    
#Das ganze dann f�r alle Zeilen.
else:
    print("" Dieses Feld existiert nicht"")                
#Wird ein ung�ltiger Wert eingegeben, wird der Nutzer informiert.
print (*Chess_Line_List_1)
print (*Chess_Line_List_2)
print (*Chess_Line_List_3)
print (*Chess_Line_List_4)
print (*Chess_Line_List_5)
print (*Chess_Line_List_6)
print (*Chess_Line_List_7)
print (*Chess_Line_List_8) 
#Gibt das neu erstellte Schachbrett aus

#3 Testf�lle:
#1) Eingabe: A1; Ausgabe QQ ist auf Platz von A1; Erwartung erf�llt
#2) Eingabe: D6; Ausgabe QQ ist auf Platz von D6; Erwartung erf�llt
#3) Eingabe: G9; Ausgabe: QQ wurde nicht ausgetaischt, Feld existiert nicht; Erwartung erf�llt
",3,"0. No function.
1. Hard coded, no loops."
17,"def schachbrett():
    #input and procsssing
    liste1 = [""A1"", ""B1"", ""C1"", ""D1"", ""E1"", ""F1"", ""G1"", ""H1""]
    liste2 = [""A2"", ""B2"", ""C2"", ""D2"", ""E2"", ""F2"", ""G2"", ""H2""]
    liste3 = [""A3"", ""B3"", ""C3"", ""D3"", ""E3"", ""F3"", ""G3"", ""H3""]
    liste4 = [""A4"", ""B4"", ""C4"", ""D4"", ""E4"", ""F4"", ""G4"", ""H4""]
    liste5 = [""A5"", ""B5"", ""C5"", ""D5"", ""E5"", ""F5"", ""G5"", ""H5""]
    liste6 = [""A6"", ""B6"", ""C6"", ""D6"", ""E6"", ""F6"", ""G6"", ""H6""]
    liste7 = [""A7"", ""B7"", ""C7"", ""D7"", ""E7"", ""F7"", ""G7"", ""H7""]
    liste8 = [""A8"", ""B8"", ""C8"", ""D8"", ""E8"", ""F8"", ""G8"", ""H8""]
#brute force because why not.
#output
    print(liste1)
    print(liste2)
    print(liste3)
    print(liste4)
    print(liste5)
    print(liste6)
    print(liste7)
    print(liste8)
    return

schachbrett()


def schachbrett_koenigin(position):
    if position == None:
  
        liste1 = [""A1"", ""B1"", ""C1"", ""D1"", ""E1"", ""F1"", ""G1"", ""H1""]
        liste2 = [""A2"", ""B2"", ""C2"", ""D2"", ""E2"", ""F2"", ""G2"", ""H2""]
        liste3 = [""A3"", ""B3"", ""C3"", ""D3"", ""E3"", ""F3"", ""G3"", ""H3""]
        liste4 = [""A4"", ""B4"", ""C4"", ""D4"", ""E4"", ""F4"", ""G4"", ""H4""]
        liste5 = [""A5"", ""B5"", ""C5"", ""D5"", ""E5"", ""F5"", ""G5"", ""H5""]
        liste6 = [""A6"", ""B6"", ""C6"", ""D6"", ""E6"", ""F6"", ""G6"", ""H6""]
        liste7 = [""A7"", ""B7"", ""C7"", ""D7"", ""E7"", ""F7"", ""G7"", ""H7""]
        liste8 = [""A8"", ""B8"", ""C8"", ""D8"", ""E8"", ""F8"", ""G8"", ""H8""]

        print(liste1)
        print(liste2)
        print(liste3)
        print(liste4)
        print(liste5)
        print(liste6)
        print(liste7)
        print(liste8)
        pass

       
        

j = str(input(""Geben Sie ein: ""))
schachbrett_koenigin(j)",3,"0. Hard coded, no loops.
1. Prints lists.
2. Does not print queen."
18,"#Aufgabe 2a
#Definiere Zeilen (lines) und Spalten (column)
number_lines = 8
number_columns = 8

#Schachbrett -Funktion einbringen durch eine Liste, die die darin enthaltene Liste[0] * die Anzahl der Zeilen in der
#Anzahl der Spalten (mithilfe der range-Funktion) berechnet
#For-Schleifen f�r Lines und columns und Erg�nzung der Zahlen und Buchstaben f�r jede Zeile durch chr(Charaktere f�r
#Zahlen; 65 = A)
schachbrett = [[0] * number_lines for i in range(number_columns)]
for line in range(number_lines):
    for column in range(number_columns):
        schachbrett[line][column] = str(chr(65 + column)) + str(line + 1)

#For-Schleife f�r Reihe im Schachbrett, um jede 1 zu erh�hen, da zuvor nur die Spalten um eins erh�ht wurden
for row in schachbrett[:: +1]:
    print("""".join([str(element) for element in row]))
    
#Aufgabe 2b
#Definieren von schachbrett koenigin durch def
def schachbrett_koenigin(pos):
    print(pos)

koenigin = 'QQ'
#�bergabe von der Position z.B. hier ""C5""
schachbrett_koenigin(""C5"")

#Eingabe der Zeilen- und Spaltennummer und Ersetzung durch 'QQ'
for line in range(4):
     for column in range(2):
         schachbrett[4][2] = chr(65 + column) + str(line + 1)
         schachbrett[4][2] = 'QQ'
         if schachbrett_koenigin(""""):
             print(schachbrett)

for row in schachbrett[:: + 1]:
    print("""".join([str(element) for element in row]))",3,"0. No functions.
1. Bad print (no spaces)."
19,"def Schachbrett():
    list1 = [""a"", ""b"" , ""c"", ""d"", ""e"", ""f"", ""g"", ""h""]
    list2 = [1, 2, 3,4,5,6,7,8]
    list3 = []
    for x in list2:
        for y in list1:
            list3.append(y+str(x))
    print(list3)

Schachbrett()",3,0. Prints one-dimensional list.
