task,prompt,iteration,response,word count,repetition,completeness,correctness,feedback type,concepts,missing,additional
11,"Explain following programming task: ""Implement a game as described below:

- The game is played with a deck of 52 cards (13 * 4 suits).
- The game can be played with 2-5 players.
- A starting player and an order of play are determined.
- A certain number of rounds are played (depending on the number of players). The number of rounds is calculated using the formula:
	Number of rounds = floor(Total number of cards / Number of players)
- Each round proceeds as follows:
	1. Each player is dealt cards (the number of cards corresponds to the round number). In the first round, each player receives one card, in the second round each player receives two cards, and so on.
	2. The trump suit for the round is determined by making a random selection.
	3. The game is played for tricks. The number of tricks is equal to the number of cards in hand. The following rules apply for playing a trick:
		i. Each player plays a card in turn (starting with the starting player). The player with the highest-ranking card wins the trick.
		ii. The next player in order takes the lead for the next trick.
	4. At the end of the round, all cards are collected, shuffled, and a new round begins with the next player in the order as the starting player.
- Determining the winner:
	Choose one variant for the winning condition:
		a) Most tricks won.
		b) Most rounds won.
- Implement basic functions:
	a) Create a function create_cards() that returns a list of cards. The cards should be represented using a dictionary. Consider how you want to represent the cards internally. The cards should correspond to a standard deck with 2, ..., 10, Jack, Queen, King, Ace, and the 4 suits (Clubs, Spades, Hearts, Diamonds).
	b) Create a function deal_cards() that simulates dealing the cards to the players. The function should receive the cards as a list, the number of players, and the number of cards for each player as input. The function should return a tuple containing the cards for each player in a list.
	c) Create a function compare_cards() that handles card comparisons. It should be possible to pass any number of cards for comparison. The function should return the index of the highest-ranking card, taking the value of the suits into account. The comparison of cards should follow the following criteria:
		i. A card of the trump suit is always higher-ranking than cards of other suits. For example, if the trump suit is Diamonds, the Diamond 2 is higher-ranking than the Club 3.
		ii. The suits (Clubs, Spades, Hearts, Diamonds) are sorted in descending order. That means Clubs are higher-ranking than Spades. In case of equal card values, the suit decides.
	d) Now, program the game flow using the previously defined functions.


Additional requirements and hints:
- Create a computer opponent that can perform actions for players defined as computer opponents (e.g., a very simple one - random or a ""smarter"" one).
- Develop a simple console-based user interface that can be controlled by keyboard input and guides the user through the program, offering at least the following possibilities:
	1. Inform the user at the beginning about valid inputs and their effects.
	2. Indicate which player's turn it is.
	3. Allow the user to end the game or start a new round.
	4. Design your user interface to be robust, so that incorrect user inputs do not lead to a crash.
- Structure your implementation by creating additional functions.""",3,"This programming task requires the implementation of a game with the given rules. The game should use a standard deck of 52 cards. It can be played with two to five players. To determine the number of rounds, the formula Total number of cards / Number of players is used.

At the beginning of a round, each player is dealt a number of cards that corresponds to the round number. After that, a trump suit is chosen randomly. Each round is played for tricks, and each player plays a card in turn. The highest-ranking card wins the trick. At the end of the round, all cards are collected, shuffled, and a new round begins with the next player in the order as the starting player. The winner is determined based on either the most tricks won or the most rounds won.

The programming task also requires the implementation of some basic functions that include creating a list of cards, dealing the cards to the players, and handling card comparisons. Additionally, a computer opponent must be implemented that can perform actions for players that are defined as computer opponents. Finally, a simple console-based user interface must be developed that can be controlled by keyboard input and guides the user through the program. The user interface should be robust and should inform the user about valid inputs and their effects.",229,206,{},1,"KH,KTC,KMC","functions,randomness,exception handling,lists,user interface design,dictionaries","input/output handling,loops,conditionals","functions,randomness,user interface design"
12,"Explain following programming task: ""
Implement an ecosystem using object-oriented programming. The ecosystem exists within a habitat, where various organisms such as herbivores, omnivores, carnivores, and plants live.

	- A plant requires space in the habitat. When creating a habitat, the size and other properties should be initialized.
	- The number of organisms that can live in the habitat depends on the available food. Organisms can eat other organisms or plants, and they can also die.

Here are some basic rules:
	- The ecosystem should be simulated in rounds. In each round, organisms should grow, reproduce, and propagate. Animals need to continue feeding to avoid starvation. Organisms can die due to diseases, injuries, being eaten, lack of food, or old age.
	- In a habitat, organisms and plants coexist. Plants need a certain amount of space to grow and reach their full potential.
	- There should be at least three (3) different types of plants in a habitat. Each plant has its advantages and limitations. A plant has a minimum and maximum size. If a plant is eaten more than its minimum size allows, it dies.
	- There should be at least three (3) different classes of organisms (herbivores, omnivores, and carnivores) in the habitat. Each organism searches for food, which can be more or less successful. If an organism finds too little food, it dies. Carnivores and omnivores can also hunt. The success of a hunt depends on the situation and can sometimes be dangerous.

Additional properties:
	- Each round corresponds to a certain unit of time, which you can define (depending on the unit of time and the organism, not all activities such as reproduction need to occur every round).
	- Each round, the plants regenerate to a certain extent. The regeneration rate depends on the plant species.
	- Each organism should have enough food for a certain period of rounds. The required amount of food can vary between organisms. If an organism doesn't find enough food, it becomes weaker and eventually dies.

Tasks:
	- Define at least 5 additional rules that expand or modify the above rules. For example, eucalyptus can only be eaten by koalas, or what happens when the habitat is full and no more plants can grow? There can also be plants that grow on trees and do not require additional habitat space. Instead of dying, animals can enter a state of rest (hibernation) instead of dying immediately. Note: If possible, the rules should be implemented by overriding the corresponding methods in the superclass.
	- Different aspects (at least 2) should depend on randomness. This can include the success of a hunt or the strength of plant growth (as a weather influence), for example.

User Interface:
	- Create a console-based user interface that prompts the user for initial settings. After the ecosystem is activated, no further user intervention should be necessary (although it can be available for debugging or testing purposes).
	- Provide the option to pause the ecosystem or simulate multiple rounds after activation.
	- Consider how to provide the user with a clear representation of the state of the ecosystem after each round. Implement different modes that adjust the simulation speed, allowing multiple rounds to run without requiring user input or interaction.
	- Ensure that user inputs are clear and robust, meaning the program should not crash in case of incorrect input.


Note: There are many options and freedoms in implementing this project. Start with a simple approach first and remember that it can always be made more challenging!""",1,"This programming task requires the implementation of an object-oriented ecosystem using basic rules about the interactions between plants and organisms living in an environment known as the habitat. The habitat will have to be initialized with size and other properties, and rules should be implemented regarding the growth, reproduction, propagation, and death of organisms as well as regarding the characteristics of plants. In addition to basic rules, five additional rules should be implemented which modify or expand upon existing rules, and at least two aspects should depend on randomness (e.g. the success of a hunt or the strength of plant growth). A console-based user interface should allow for initial user settings and provide the option to pause the ecosystem or simulate multiple rounds. It should also provide a clear representation of the state of the ecosystem after each round. Finally, inputs should be clear and robust, so they should not cause the program to crash.",158,138,{},1,"KC,KH,KTC","input/output handling,OOP,randomness,exception handling,user interface design","class inheritance,method overriding",
12,"Explain following programming task: ""
Implement an ecosystem using object-oriented programming. The ecosystem exists within a habitat, where various organisms such as herbivores, omnivores, carnivores, and plants live.

	- A plant requires space in the habitat. When creating a habitat, the size and other properties should be initialized.
	- The number of organisms that can live in the habitat depends on the available food. Organisms can eat other organisms or plants, and they can also die.

Here are some basic rules:
	- The ecosystem should be simulated in rounds. In each round, organisms should grow, reproduce, and propagate. Animals need to continue feeding to avoid starvation. Organisms can die due to diseases, injuries, being eaten, lack of food, or old age.
	- In a habitat, organisms and plants coexist. Plants need a certain amount of space to grow and reach their full potential.
	- There should be at least three (3) different types of plants in a habitat. Each plant has its advantages and limitations. A plant has a minimum and maximum size. If a plant is eaten more than its minimum size allows, it dies.
	- There should be at least three (3) different classes of organisms (herbivores, omnivores, and carnivores) in the habitat. Each organism searches for food, which can be more or less successful. If an organism finds too little food, it dies. Carnivores and omnivores can also hunt. The success of a hunt depends on the situation and can sometimes be dangerous.

Additional properties:
	- Each round corresponds to a certain unit of time, which you can define (depending on the unit of time and the organism, not all activities such as reproduction need to occur every round).
	- Each round, the plants regenerate to a certain extent. The regeneration rate depends on the plant species.
	- Each organism should have enough food for a certain period of rounds. The required amount of food can vary between organisms. If an organism doesn't find enough food, it becomes weaker and eventually dies.

Tasks:
	- Define at least 5 additional rules that expand or modify the above rules. For example, eucalyptus can only be eaten by koalas, or what happens when the habitat is full and no more plants can grow? There can also be plants that grow on trees and do not require additional habitat space. Instead of dying, animals can enter a state of rest (hibernation) instead of dying immediately. Note: If possible, the rules should be implemented by overriding the corresponding methods in the superclass.
	- Different aspects (at least 2) should depend on randomness. This can include the success of a hunt or the strength of plant growth (as a weather influence), for example.

User Interface:
	- Create a console-based user interface that prompts the user for initial settings. After the ecosystem is activated, no further user intervention should be necessary (although it can be available for debugging or testing purposes).
	- Provide the option to pause the ecosystem or simulate multiple rounds after activation.
	- Consider how to provide the user with a clear representation of the state of the ecosystem after each round. Implement different modes that adjust the simulation speed, allowing multiple rounds to run without requiring user input or interaction.
	- Ensure that user inputs are clear and robust, meaning the program should not crash in case of incorrect input.


Note: There are many options and freedoms in implementing this project. Start with a simple approach first and remember that it can always be made more challenging!""",2,"This programming task requires you to build an object-oriented simualtion of an ecosystem. There are different types of organisms (herbivores, omnivores, and carnivores) as well as different types of plants. In each round, organisms grow, reproduce, and propagate and may die from disease, injury, lack of food, being eaten, or old age. Plants also regenerate at a certain rate and require a certain amount of space to grow to their full potential. For the user interface, you should create some way for the user to set initial conditions and some way to represent the state of the ecosystem after each round. 
You should also include some random elements and define at least five additional rules (e.g. what if the habitat is full and no more plants can grow?). Finally, you should make sure all user input is clear and robust and that the program should not crash due to incorrect input.",153,140,{},1,"KC,KH,KTC","randomness,user interface design,OOP,exception handling","class inheritance,method overriding,input/output handling",
12,"Explain following programming task: ""
Implement an ecosystem using object-oriented programming. The ecosystem exists within a habitat, where various organisms such as herbivores, omnivores, carnivores, and plants live.

	- A plant requires space in the habitat. When creating a habitat, the size and other properties should be initialized.
	- The number of organisms that can live in the habitat depends on the available food. Organisms can eat other organisms or plants, and they can also die.

Here are some basic rules:
	- The ecosystem should be simulated in rounds. In each round, organisms should grow, reproduce, and propagate. Animals need to continue feeding to avoid starvation. Organisms can die due to diseases, injuries, being eaten, lack of food, or old age.
	- In a habitat, organisms and plants coexist. Plants need a certain amount of space to grow and reach their full potential.
	- There should be at least three (3) different types of plants in a habitat. Each plant has its advantages and limitations. A plant has a minimum and maximum size. If a plant is eaten more than its minimum size allows, it dies.
	- There should be at least three (3) different classes of organisms (herbivores, omnivores, and carnivores) in the habitat. Each organism searches for food, which can be more or less successful. If an organism finds too little food, it dies. Carnivores and omnivores can also hunt. The success of a hunt depends on the situation and can sometimes be dangerous.

Additional properties:
	- Each round corresponds to a certain unit of time, which you can define (depending on the unit of time and the organism, not all activities such as reproduction need to occur every round).
	- Each round, the plants regenerate to a certain extent. The regeneration rate depends on the plant species.
	- Each organism should have enough food for a certain period of rounds. The required amount of food can vary between organisms. If an organism doesn't find enough food, it becomes weaker and eventually dies.

Tasks:
	- Define at least 5 additional rules that expand or modify the above rules. For example, eucalyptus can only be eaten by koalas, or what happens when the habitat is full and no more plants can grow? There can also be plants that grow on trees and do not require additional habitat space. Instead of dying, animals can enter a state of rest (hibernation) instead of dying immediately. Note: If possible, the rules should be implemented by overriding the corresponding methods in the superclass.
	- Different aspects (at least 2) should depend on randomness. This can include the success of a hunt or the strength of plant growth (as a weather influence), for example.

User Interface:
	- Create a console-based user interface that prompts the user for initial settings. After the ecosystem is activated, no further user intervention should be necessary (although it can be available for debugging or testing purposes).
	- Provide the option to pause the ecosystem or simulate multiple rounds after activation.
	- Consider how to provide the user with a clear representation of the state of the ecosystem after each round. Implement different modes that adjust the simulation speed, allowing multiple rounds to run without requiring user input or interaction.
	- Ensure that user inputs are clear and robust, meaning the program should not crash in case of incorrect input.


Note: There are many options and freedoms in implementing this project. Start with a simple approach first and remember that it can always be made more challenging!""",3,"This programming task requires the implementation of an ecosystem system with object-oriented programming. The starting point is creating a habitat with initial settings, such as size and other properties. The habitat is home to various organisms such as herbivores, omnivores, carnivores, and plants. The simulated environment works in rounds, where organisms can grow, reproduce, and propagate. All organisms have to continually eat to avoid starvation. Plants regenerate to a certain extent each round, depending on the plant species.

Additional rules should be implemented to expand or modify the initial rules, such as what happens if growing plants are eaten or the habitat is full and no new plants can grow. Randomness should be incorporated in certain aspects, such as the success of a hunt.

A console-user interface should be created, prompting the user for initial settings. After the activation of the ecosystem, no further user intervention is necessary. The user should be able to pause the ecosystem or activate multiple rounds. The state of the ecosystem should be clearly represented after each round. User inputs should be clear and robust, not crashing if incorrect input is entered.",189,171,{},1,"KH,KTC","method overriding,randomness,OOP,user interface design","class inheritance,exception handling,input/output handling",
0,"Identify the required programming concepts for following task: ""Create a Python 3.x program that accepts a bank code (Bankleitzahl) and an account number (Kontonummer). The program should output and explain the complete IBAN (International Bank Account Number) including the checksum. For beginners, it is sufficient to hardcode the country code ""DE,"" but if desired, the program can also prompt for the country code as an additional input.

Instructions for calculating the checksum can be found at:
https://en.wikipedia.org/wiki/International_Bank_Account_Number#Check_digits

Additional guidelines or requirements:
 - Ensure that input prompts adequately inform the user about what they should enter and its significance. The same applies to output messages.
 - Use comments in the code to improve structure and readability.
 - Address in the documentation which inputs are not allowed and may lead to error messages (if not already handled)""
For each concept give a general explanation with an example.",1,"1. Variables: Variables are used to store data and are further referenced in a program. For example, in the given task, you can create variables like ‘bank_code’, ‘account_number’, ‘IBAN’, ‘country_code’, etc.

2. Data types: Different data types help to store different types of data within a program. For instance, in the given task, one can use strings to store information like bank_code or account number and numerical data type for storing values like checksum.

3. Control flow: Control flow refers to the sequence in which program instructions are executed. For the given task, the program should collect input from the user, calculate and float the checksum and output the resultant IBAN while prompting for more details, if necessary. 

4. Loops: Loops enable a program to iterate through a sequence of instructions until a certain condition is met. In the given task, the program should perform specific steps until the user inputs a valid bank code and account number.

5. Functions: Functions enable a program to split complex tasks into manageable units, thereby making them easier to reference and debug. In the given task, one can use functions like ‘promptForInput()’ - that collects inputs from the user, ‘calculateChecksum()’ and ‘outputIban()’ that displays the IBAN with the checksum. 

6. Error handling: Error handling is used to anticipate and respond to errors that may arise during program execution. For the given task, it is essential to use error handling to anticipate and rectify any errors that may occur due to invalid inputs or broken algorithms.",251,119,"{‘0': 'Inputs are missing.’, ‘1’: ‘Output is missing.’}",1,"KC,KH","functions,variables,loops,exception handling","input/output handling,string manipulation,comments,documentation","functions,loops,exception handling"
0,"Identify the required programming concepts for following task: ""Create a Python 3.x program that accepts a bank code (Bankleitzahl) and an account number (Kontonummer). The program should output and explain the complete IBAN (International Bank Account Number) including the checksum. For beginners, it is sufficient to hardcode the country code ""DE,"" but if desired, the program can also prompt for the country code as an additional input.

Instructions for calculating the checksum can be found at:
https://en.wikipedia.org/wiki/International_Bank_Account_Number#Check_digits

Additional guidelines or requirements:
 - Ensure that input prompts adequately inform the user about what they should enter and its significance. The same applies to output messages.
 - Use comments in the code to improve structure and readability.
 - Address in the documentation which inputs are not allowed and may lead to error messages (if not already handled)""
For each concept give a general explanation with an example.",2,"1. User Input: User input is a feature used in programming to allow a user to input information for the program to use. An example would be for a user to enter their name when the program requests it.

2. Input Verification/Validation: Input verification/validation is a process of checking that data entered into the program is complete and correct. An example would be validating that an email address entered into the program is in the required email format.

3. Output Messages: Output messages are messages that communicate the results of a program to the user. An example would be a message that says “Your account has been created” after a user signs up.

4. Error Checking/Handling: Error checking/handling is a feature used to verify the user input values before they are used for processing. An example would be having the program check that the bank code (Bankleitzahl) is valid before performing any other functions.

5. Comments: Comments are sections of code used to document the program and make the code easier to read and understand. An example would be adding a comment at the top of a function to explain what it does and what inputs it expects.

6. Documentation: Documentation is detailed information about how to use the program, including what inputs are required and how they should be provided. An example of documentation would be a user guide that explains how to use the program and all of its features.",246,139,{},1,"KC,KH","input/output handling,documentation,comments","variables,string manipulation",
0,"Identify the required programming concepts for following task: ""Create a Python 3.x program that accepts a bank code (Bankleitzahl) and an account number (Kontonummer). The program should output and explain the complete IBAN (International Bank Account Number) including the checksum. For beginners, it is sufficient to hardcode the country code ""DE,"" but if desired, the program can also prompt for the country code as an additional input.

Instructions for calculating the checksum can be found at:
https://en.wikipedia.org/wiki/International_Bank_Account_Number#Check_digits

Additional guidelines or requirements:
 - Ensure that input prompts adequately inform the user about what they should enter and its significance. The same applies to output messages.
 - Use comments in the code to improve structure and readability.
 - Address in the documentation which inputs are not allowed and may lead to error messages (if not already handled)""
For each concept give a general explanation with an example.",3,"1. Variables: Variables are named objects that can store data, that can be used and changed within a program. In this case, variables would be used to store the bank code, account number, and country code as input. 

2. Datatypes: Datatypes specify the type of data a particular variable is loading. In this program, the bank code would be an integer, the account number would be a string, and the country code would be a string. 

3. Control Flow Statements: Control flow statements are used to define how a program behaves in different scenarios. For example, the program might use an if statement to either prompt for the country code or to hardcode it, depending on what the user desires.

4. Loops: Loops are programming structures that allow repeated execution of a block of code. In this program, loops could be used to keep asking for user input until all three pieces of information have been provided. 

5. Functions: Functions are blocks of code that are wrapped up in a name, allowing them to be used repeatedly. This program might include a function to process the banking information and output the complete IBAN number. 

6. Documentation: Documentation is extra comment lines that explain the various sections/blocks of code. This can improve the structure and readability of the code, as required for this problem. 

7. Error Handling: Error handling is the process of anticipating, recognizing, and addressing errors when they occur. This code should contain mechanisms to handle invalid entries and prevent them from crashing the program.",257,131,"{‘0': 'Inputs are missing.’, ‘1’: ‘Output is missing.’}",1,"KC,KH,KMC","functions,loops,variables,conditionals,exception handling,documentation","input/output handling,string manipulation,comments","functions,loops,conditionals,exception handling"
1,"Identify the required programming concepts for following task: ""Create a Python 3.x program that reads a year from the console and determines whether it is a leap year in the Gregorian calendar. Display the result in the console as a complete sentence, such as ""The year 1993 is not a leap year."" or ""The year 2024 is a leap year.""

You can refer to the rules for leap years here:
https://en.wikipedia.org/wiki/Leap_year#Gregorian_calendar""
For each concept give a general explanation with an example.",1,"1. Input/Output: Input/Output involves reading data from the user/an external source and generating output. For example, when a program reads a number from the user through the console and prints its square, this is an example of Input/Output. 

2. Control Flow: Control Flow is the sequence in which instructions are executed. In this task, the program must check if the year inputted is a leap year, and only if it is a leap year will the corresponding message be displayed. This requires the program to make decisions based on conditions, control which instructions are to be executed, and track the program's progress and current state.

3. Variables and Data Types: Variables are used to store user input and the result of mathematical calculations, and allow data to be manipulated. The type of variable used in this task would be integer, as years are usually expressed as whole numbers.

4. Conditions (if statements): Conditions allow the computer to make decisions based on certain conditions being met. In this task, the program needs to use 'if statements' to quickly identify if the inputted year is a leap year or not.",193,85,{},1,"KC,KH","variables,input/output handling,conditionals",string manipulation,
1,"Identify the required programming concepts for following task: ""Create a Python 3.x program that reads a year from the console and determines whether it is a leap year in the Gregorian calendar. Display the result in the console as a complete sentence, such as ""The year 1993 is not a leap year."" or ""The year 2024 is a leap year.""

You can refer to the rules for leap years here:
https://en.wikipedia.org/wiki/Leap_year#Gregorian_calendar""
For each concept give a general explanation with an example.",2,"1. Data Types: Data types are used to store data, especially when programming. Examples of data types are numbers, strings, booleans, floats, etc. In this task, the program will need to recognize and work with a numerical data type, since it is dealing with year values.

2. Variables: Variables are important in programming languages, as they store values to be used in the program. In this task, the program will need to create and use a variable to store the year value read from the console. 

3. Control Flow: Control flow is the order of execution of the statements of the program. In this task, the program will first read the year value from the console, then check whether it is a leap year or not, and then display the result accordingly. 

4. Input/Output: Input/output is used for getting data into a program (input) and sending data from a program (output). In this task, the program will need to take the year value from the user (input) and also display the result to the console (output). 

5. Logical Operators: Logical operators such as ""and,"" ""or,"" and ""not"" are used to compare values and make decisions. In this task, the program will need to use logical operators to compare a year to the given rules for check if it is a leap year. 

6. Conditional Statements: Conditional statements are used to execute code if certain conditions are met. In this task, the program will need to use a conditional statement to determine if a given year is a leap year or not.",263,127,{},1,"KC,KH","variables,input/output handling,conditionals",string manipulation,
1,"Identify the required programming concepts for following task: ""Create a Python 3.x program that reads a year from the console and determines whether it is a leap year in the Gregorian calendar. Display the result in the console as a complete sentence, such as ""The year 1993 is not a leap year."" or ""The year 2024 is a leap year.""

You can refer to the rules for leap years here:
https://en.wikipedia.org/wiki/Leap_year#Gregorian_calendar""
For each concept give a general explanation with an example.",3,"1. Conditional statement: A conditional statement is a programming construct used to decide whether a certain piece of code should be run or not. For example, in the above task a conditional statement could be used to determine if a certain year is a leap year or not. 

2. Input/Output (I/O): I/O is the exchange of data between the user and the computer program. In the above task, you would need to use user input (the year) to determine if it is a leap year and use output (the complete sentence) to display the result to the user. 

3. Data Type: Data types are used to define the type of data that will be stored in a variable. For this task you need to use variables to store values (year) and since those variables would contain numerical data, you would need to use a numerical data type such as int. 

4. Loops: A loop is used for repeated execution of a certain set of instructions. For this task, you could use a loop to continuously ask the user to input a year, and perform calculations to determine if the year is a leap year or not. 

5. String Manipulation: String manipulation is used to manipulate strings in code. For this task, you would need to use string manipulation to construct the complete sentence by combining strings and the output of the calculations.",235,111,{},1,"KC,KH","loops,input/output handling,string manipulation,variables,conditionals",,loops
2,"Identify the required programming concepts for following task: ""Create a Python 3.x program that calculates the minimum and maximum number of ""Friday the 13th"" occurrences in a year, taking into account whether it is a leap year or not. The user can input whether they want to calculate for a leap year or a non-leap year. The program should provide clear and understandable output.

Tips:
 - The number of ""Friday the 13th"" occurrences in a year depends on the weekday on which the year starts.
 - You can try using the new match-case feature in Python 3.10.""
For each concept give a general explanation with an example.",1,"1. Variables: Variables are used to store information for later use. For example, in this task, one variable could be used to store the Boolean value of whether a leap year has been entered. 

2. Conditional Statements: Conditional statements are expressions that evaluate to either true or false. In this task, you can use conditional statements to check which inputs the user has entered to determine the number of ""Friday the 13th"" occurrences. 

3. Loops: Loops are used to repeat a set of instructions until a certain condition is met. For example, you could use a loop to cycle through all of the days in a year to determine when ""Friday the 13th"" will occur. 

4. Match-Case (Python 3.10): The match-case feature in Python 3.10 is a type of switch statement with a syntax that allows you to test for multiple conditions in a single expression. For example, you could use match-case to check the input entered by the user and determine the number of ""Friday the 13th"" occurrences accordingly.",175,94,"{‘0': 'Inputs are missing.’, ‘1’: ‘Output is missing.’}",1,"KC,KH","variables,loops,conditionals","input/output handling,string manipulation",
2,"Identify the required programming concepts for following task: ""Create a Python 3.x program that calculates the minimum and maximum number of ""Friday the 13th"" occurrences in a year, taking into account whether it is a leap year or not. The user can input whether they want to calculate for a leap year or a non-leap year. The program should provide clear and understandable output.

Tips:
 - The number of ""Friday the 13th"" occurrences in a year depends on the weekday on which the year starts.
 - You can try using the new match-case feature in Python 3.10.""
For each concept give a general explanation with an example.",2,"1. Input Validation: Input validation is used to ensure that the data a user enters into a program is what the program is expecting. For this task, input validation could be used to check whether the user has correctly inputted a value for leap year or non-leap year and to ensure the data entered is valid. An example of input validation could be writing a statement that a year must be inputted in order for the user to calculate the minimum and maximum number of ""Friday the 13th"" occurrences. 

2. Modularization: Modularization is a technique to break a program down into smaller, easier to understand blocks of code that can be reused whenever necessary. For this task, modularization could be used to separate the code that checks whether it is a leap year or not from the code that calculates the minimum and maximum number of ""Friday the 13th"" occurrences. This would make it easier to maintain and debug the program as multiple functions can be called and tested without interfering with each other. An example of modularization in this task could be writing a separate function to calculate the minimum and maximum number of ""Friday the 13th"" occurrences depending on whether it is a leap year or not and another function to display the output. 

3. Control Flow Statements: Control Flow Statements are used to determine the order in which instructions are executed in a program. For this task, control flow statements could be used to determine the path the program goes down based on the user’s input. An example of control flow statement in this task could be writing an if statement to check whether the user’s input for a leap year or non-leap year is true, then executing a set of instructions accordingly.",300,184,{‘1’: ‘Output is missing.’},1,"KC,KTC","functions,input/output handling,conditionals","variables,string manipulation,loops",functions
2,"Identify the required programming concepts for following task: ""Create a Python 3.x program that calculates the minimum and maximum number of ""Friday the 13th"" occurrences in a year, taking into account whether it is a leap year or not. The user can input whether they want to calculate for a leap year or a non-leap year. The program should provide clear and understandable output.

Tips:
 - The number of ""Friday the 13th"" occurrences in a year depends on the weekday on which the year starts.
 - You can try using the new match-case feature in Python 3.10.""
For each concept give a general explanation with an example.",3,"1. Variables: Variables are like containers for data, such as numbers, text strings, and so on. A variable can be created in a program to store a value. For example, in this program you could create a variable called “user_input” to store the input from the user regarding a leap year or not.

2. Loops: A loop is used to execute code multiple times. In this program, a loop could be used to check each day of the year and determine if it’s a Friday the 13th. 

3. Conditional statements: Conditional statements are used to execute a line of code based on a certain condition. In this program, conditional statements could be used to decide when to calculate a Friday the 13th, depending on the input from the user. 

4. Match-case statement: A match-case statement is a new feature in Python 3.10. It can be used to evaluate an expression and match it to one of a limited set of alternatives, and then execute a line of code associated with that alternative. In this program, match-case could be used to compare the user input with the choices for leap year or non-leap year, and then execute the relevant code. 

5. Functions: Functions are code blocks that perform a single task. In this program, a function could be created for calculating the minimum and maximum number of Friday the 13th occurrences in a year. This could make the code easier to read and reuse. 

6. Output: Output is what the user sees when the program is run, such as text or numbers. In this program, the output should be clear and understandable for the user. Output could be displayed as text or as a graph.",290,159,{},1,"KC,KH,KTC","functions,loops,input/output handling,variables,conditionals",string manipulation,functions
3,"Identify the required programming concepts for following task: ""Create executable Python 3.X code (in a .py file) for each subtask a) and b).
In a classic 8x8 chessboard, the rows are labeled with numbers from 1 to 8, and the columns are labeled with letters from A to H. Therefore, each of the 64 squares can be uniquely identified by a combination of a number and a letter.

a) Create a function named ""chessboard"" that generates a chessboard by displaying each square with its corresponding label (as shown in the illustration on the right) in the console. Include the function call below the function definition.

b) Create a function named ""queen_on_chessboard"" that takes the position of a queen as input and displays the queen (using a symbol such as ♛ or QQ) at the corresponding square on the chessboard. In the illustration on the right, you can see an example with the queen placed on square B4. If no parameter is passed to the function, it should exhibit the same behavior as the function in subtask a).""
For each concept give a general explanation with an example.",1,"a) Functions: A function is a set of statements that take inputs, processes them, and produces outputs. For example, in the given task, the function “chessboard” takes no inputs, processes information to display each square with its corresponding label, and produces an output of a chessboard displayed in the console. 

b) Parameters: Parameters are values or variables passed into a function. In the given task, the function “queen_on_chessboard” takes the position of a queen as its parameter and displays the queen at the corresponding square on the chessboard. If no parameter is passed, the same behavior as in the function in subtask a is exhibited.",105,83,{},1,"KC,KH","functions,parameters","input/output handling,string manipulation,conditionals,loops",parameters
3,"Identify the required programming concepts for following task: ""Create executable Python 3.X code (in a .py file) for each subtask a) and b).
In a classic 8x8 chessboard, the rows are labeled with numbers from 1 to 8, and the columns are labeled with letters from A to H. Therefore, each of the 64 squares can be uniquely identified by a combination of a number and a letter.

a) Create a function named ""chessboard"" that generates a chessboard by displaying each square with its corresponding label (as shown in the illustration on the right) in the console. Include the function call below the function definition.

b) Create a function named ""queen_on_chessboard"" that takes the position of a queen as input and displays the queen (using a symbol such as ♛ or QQ) at the corresponding square on the chessboard. In the illustration on the right, you can see an example with the queen placed on square B4. If no parameter is passed to the function, it should exhibit the same behavior as the function in subtask a).""
For each concept give a general explanation with an example.",2,"1. Function: A function is a subroutine written in code that can be called multiple times with different inputs to produce an output. For example, a function could take two numbers as input and output their sum.

2. Parameters: Parameters are variables used as inputs when a function is called. For example, in the ""queen_on_chessboard"" function, the position of the queen would be a parameter.

3. Strings: A string is a series of characters, such as letters, numbers, and symbols, stored in memory. For example, ""B4"" is a string that the ""queen_on_chessboard"" function could use.

4. Symbol: A symbol is a special character used for representing something else. For example, the ""queen_on_chessboard"" function could use the ♛ symbol to represent the queen on the chessboard.",124,80,{},1,KC,"functions,variables,string manipulation","input/output handling,conditionals,loops",variables
3,"Identify the required programming concepts for following task: ""Create executable Python 3.X code (in a .py file) for each subtask a) and b).
In a classic 8x8 chessboard, the rows are labeled with numbers from 1 to 8, and the columns are labeled with letters from A to H. Therefore, each of the 64 squares can be uniquely identified by a combination of a number and a letter.

a) Create a function named ""chessboard"" that generates a chessboard by displaying each square with its corresponding label (as shown in the illustration on the right) in the console. Include the function call below the function definition.

b) Create a function named ""queen_on_chessboard"" that takes the position of a queen as input and displays the queen (using a symbol such as ♛ or QQ) at the corresponding square on the chessboard. In the illustration on the right, you can see an example with the queen placed on square B4. If no parameter is passed to the function, it should exhibit the same behavior as the function in subtask a).""
For each concept give a general explanation with an example.",3,"a) Function: A function is a block of code that performs a specific task, such as generating a chessboard. For example, the ""chessboard"" function mentioned in the task could be written like this:

def chessboard():
    for row in range (1,9):
        for column in range (1,9):
            print(""{}{}"".format(row,column), end="" "")
        print()

b) Parameters: Parameters are values that are passed into a function, allowing it to perform operations on the data provided. In the example task, the ""queen_on_chessboard"" function takes in the position of a queen as input. For example, the function call could look like this: queen_on_chessboard(B4).",100,69,{},0: 'The code snippet incorrectly combines two numbers.',"KC,KH","functions,loops,input/output handling,string manipulation",conditionals,
